track_id,spotify_track_uri
01Uh9Sk9rijt0DgNGKNR1k,spotify:track:01Uh9Sk9rijt0DgNGKNR1k
01VMrdQgGSQffbUnFAcvhF,spotify:track:01VMrdQgGSQffbUnFAcvhF
01WGQ9KbZXfnsXCKEpT4Ix,spotify:track:01WGQ9KbZXfnsXCKEpT4Ix
01XsJTIhxY14H16ttu4Wkc,spotify:track:01XsJTIhxY14H16ttu4Wkc
01aWeG2KpmwLFADXTfcLNX,spotify:track:01aWeG2KpmwLFADXTfcLNX
01bMpqmvH031R417l3AQTA,spotify:track:01bMpqmvH031R417l3AQTA
01bcmdg8tuMpb204u2d8FH,spotify:track:01bcmdg8tuMpb204u2d8FH
01cbb52SrkVOB8VuFaPoGP,spotify:track:01cbb52SrkVOB8VuFaPoGP
01d132MRsUxoEA960QLDuY,spotify:track:01d132MRsUxoEA960QLDuY
01dcD0G8AUhIbSgbfelsZk,spotify:track:01dcD0G8AUhIbSgbfelsZk
01e8dGbulrphX8j3fZDQYk,spotify:track:01e8dGbulrphX8j3fZDQYk
01eKAVHcm8jRXrzfdTt5Ck,spotify:track:01eKAVHcm8jRXrzfdTt5Ck
01eeV2Dy8I3TMYtJHpS8iU,spotify:track:01eeV2Dy8I3TMYtJHpS8iU
01fEQwn0DjAHy7TnTwifdO,spotify:track:01fEQwn0DjAHy7TnTwifdO
01hSyQJYDgUruvhgUlr55J,spotify:track:01hSyQJYDgUruvhgUlr55J
01im5XTgoGwO1eJSJOJJ0U,spotify:track:01im5XTgoGwO1eJSJOJJ0U
01jKHC0bYOqoKfb3IGlM27,spotify:track:01jKHC0bYOqoKfb3IGlM27
01jQJSRH05Y1GnldY8nhp1,spotify:track:01jQJSRH05Y1GnldY8nhp1
01jTcKw2oL7Ho0J3wvkR7e,spotify:track:01jTcKw2oL7Ho0J3wvkR7e
01jWB5rwPt5UMdG30DHzOm,spotify:track:01jWB5rwPt5UMdG30DHzOm
